"","Var1","Var2","value"
"1",NA,1,"Абзелиловский район"
"2",1999,1,"  0.191"
"3",2000,1,"  0.134"
"4",2001,1," 0.155"
"5",2002,1,"  0.163"
"6",2003,1,"  0.143"
"7",2004,1,"  0.100"
"8",2005,1,"  0.150"
"9",2006,1,"  0.128"
"10",2007,1,"  0.124"
"11",2008,1,"  0.124"
"12",2009,1,"  0.175"
"13",2010,1,"  0.245"
"14",2011,1,"  0.254"
"15",2012,1,"  0.130"
"16",2013,1,"  0.171"
"17",NA,1,NA
"18",NA,2,"Альшеевский р-он"
"19",1999,2,"  1.021"
"20",2000,2,"  1.000"
"21",2001,2," 0.898"
"22",2002,2,"  0.975"
"23",2003,2,"  0.954"
"24",2004,2,"  0.907"
"25",2005,2,"  0.662"
"26",2006,2,"  0.728"
"27",2007,2,"  0.745"
"28",2008,2,"  0.709"
"29",2009,2,"  0.780"
"30",2010,2,"  0.623"
"31",2011,2,"  0.770"
"32",2012,2,"  1.237"
"33",2013,2,"  1.445"
"34",NA,2,NA
"35",NA,3,"Архангельский р-он"
"36",1999,3,"  0.047"
"37",2000,3,"  0.022"
"38",2001,3," 0.051"
"39",2002,3,"  0.064"
"40",2003,3,"  0.056"
"41",2004,3,"  0.092"
"42",2005,3,"  0.076"
"43",2006,3,"  0.080"
"44",2007,3,"  0.105"
"45",2008,3,"  0.105"
"46",2009,3,"  0.131"
"47",2010,3,"  0.132"
"48",2011,3,"  0.138"
"49",2012,3,"  0.239"
"50",2013,3,"  0.436"
"51",NA,3,NA
"52",NA,4,"Аскинский р-он"
"53",1999,4,NA
"54",2000,4,NA
"55",2001,4," 0.063"
"56",2002,4,"  0.065"
"57",2003,4,"  0.061"
"58",2004,4,"  0.051"
"59",2005,4,"  0.065"
"60",2006,4,"  0.157"
"61",2007,4,"  0.119"
"62",2008,4,"  0.099"
"63",2009,4,"  0.343"
"64",2010,4,"  0.458"
"65",2011,4,"  0.543"
"66",2012,4,"  1.582"
"67",2013,4,"  0.616"
"68",NA,4,NA
"69",NA,5,"Аургазинский р-он"
"70",1999,5,NA
"71",2000,5,NA
"72",2001,5," 0.217"
"73",2002,5,"  0.197"
"74",2003,5,"  0.193"
"75",2004,5,"  0.180"
"76",2005,5,"  0.686"
"77",2006,5,"  0.623"
"78",2007,5,"  0.574"
"79",2008,5,"  0.560"
"80",2009,5,"  1.015"
"81",2010,5,"  1.069"
"82",2011,5,"  1.028"
"83",2012,5,"  1.420"
"84",2013,5,"  1.891"
"85",NA,5,NA
"86",NA,6,"Баймакский р-он"
"87",1999,6,NA
"88",2000,6,NA
"89",2001,6,NA
"90",2002,6,NA
"91",2003,6,NA
"92",2004,6,NA
"93",2005,6,"  0.068"
"94",2006,6,NA
"95",2007,6,"  0.083"
"96",2008,6,NA
"97",2009,6,NA
"98",2010,6,NA
"99",2011,6,NA
"100",2012,6,NA
"101",2013,6,NA
"102",NA,6,NA
"103",NA,7,"Бакалинский р-он"
"104",1999,7,"  0.184"
"105",2000,7,"  0.302"
"106",2001,7," 0.300"
"107",2002,7,"  0.176"
"108",2003,7,"  0.197"
"109",2004,7,"  0.110"
"110",2005,7,"  0.092"
"111",2006,7,"  0.069"
"112",2007,7,"  0.108"
"113",2008,7,"  0.103"
"114",2009,7,"  0.101"
"115",2010,7,"  0.091"
"116",2011,7,"  0.083"
"117",2012,7,"  0.167"
"118",2013,7,"  0.314"
"119",NA,7,NA
"120",NA,8,"Балтачевский р-он"
"121",1999,8,NA
"122",2000,8,NA
"123",2001,8," 0.182"
"124",2002,8,"  0.110"
"125",2003,8,"  0.069"
"126",2004,8,"  0.085"
"127",2005,8,"  0.066"
"128",2006,8,"  0.041"
"129",2007,8,"  0.053"
"130",2008,8,"  0.045"
"131",2009,8,"  0.039"
"132",2010,8,"  0.044"
"133",2011,8,"  0.040"
"134",2012,8,"  0.348"
"135",2013,8,"  0.519"
"136",NA,8,NA
"137",NA,9,"Белебеевский р-он"
"138",1999,9,"  0.774"
"139",2000,9,"  0.824"
"140",2001,9," 1.058"
"141",2002,9,"  1.145"
"142",2003,9,"  1.567"
"143",2004,9,"  1.452"
"144",2005,9,"  0.761"
"145",2006,9,"  2.813"
"146",2007,9,"  3.573"
"147",2008,9,"  3.626"
"148",2009,9,"  4.133"
"149",2010,9,"  3.858"
"150",2011,9,"  4.238"
"151",2012,9,"  3.118"
"152",2013,9,"  3.537"
"153",NA,9,NA
"154",NA,10,"Белокатайский р-он"
"155",1999,10,"  0.531"
"156",2000,10,"  0.573"
"157",2001,10," 1.522"
"158",2002,10,"  0.414"
